"Отметка времени","  დაბადების წელი","სქესი"," ოჯახური მდგომარეობა","გყავთ თუ არა შვილები?","გთხოვთ მიუთითოთ მიღწეული განათლების უმაღლესი საფეხური","გთხოვთ, მიუთითოთ სამუშაო ადგილას კომუნიკაციის რომელ არხებს ანიჭებთ უპირატესობას?","თქვენი აზრით, რამდენად ხშირი უნდა იყოს უკუკავშირი?","გთხოვთ, მიუთითოთ  დაჯილდოების/წახალისების რომელ ფორმას ანიჭებთ უპირატესობას","გთხოვთ, ჩამოთვლილი ვარიანტებიდან აირჩიოთ თქვენთვის უფრო მისაღები","გთხოვთ, ჩამოთვლილი ვარიანტებიდან აირჩიოთ თქვენთვის უფრო მისაღები","კონფლიქტების მოგვარების რომელ მეთოდს ანიჭებთ უპირატესობას?"," [რამდენად მნიშვნელოვანია თქვენთვის ორგანიზაციაში მიმდინარე პროცესებში ჩართულობა?]"," [რამდენად მნიშვნელოვანია თქვენთვის ორგანიზაციაში მკაცრად განსაზღვრული იერარქიის არსებობა?]"," [რამდენად მნიშვნელოვანია თქვენთვის შეგეძლოთ პირადად მიმართოთ ხელმძღვანელს დასახმარებლად?]"," [რამდენად მნიშვნელოვანია თქვენთვის მეგობრული ურთიერთობა გქონდეთ კოლეგებთან?]"," [რამდენად დიდია იმის ალბათობა რომ ერთ ორგანიზაციაში გაჩერდებით 5 წელზე დიდხანს?]"," [რამდენად მნიშვნელოვანია თქვენთვის მკაცრად გაწერილი დედლაინების არსებობა?]"," [ორგანიზაციას რომ დასჭირდეს, იმუშავებთ თუ არა დასვენების დღეებსა და შვებულების დროსაც?]"," [ორგანიზაციის ფინანსური გაჭირვების შემთხვევაში, იმუშავებდით თუ არა 3 თვე ანაზღაურების გარეშე ან ზეგანაკვეთურად, ზეგანაკვეთური დროის ანაზღაურების გარეშე?]","გთხოვთ, ჩამოთვლილი ვარიანტებიდან აირჩიოთ თქვენთვის უფრო პრიორიტეტული","გთხოვთ, ჩამოთვლილი ვარიანტებიდან აირჩიოთ თქვენთვის უფრო პრიორიტეტული","გთხოვთ, ჩამოთვლილი ვარიანტებიდან აირჩიოთ თქვენი მთავარი მოტივატორები? (გთხოვთ მონიშნოთ 3 ვარიანტი)"
"2023/05/30 12:08:44 PM GMT+4","1997-2012","ქალი","დასაოჯახებელი","არა","ბაკალავრი","პირდაპირი შეხვედრა","კვირაში ერთხელ","მატერიალურს","მირჩევნია ორგანიზაციამ მეტი თავისუფლება მომცეს ჩემი საქმის შესრულებისას, მარტომ მივიღო გადაწყვეტილებები და პასუხისმგებლობა მხოლოდ საკუთარ თავზე ავიღო","მირჩევნია ვიმუშავო გუნდში და პასუხისმგებლობა გადანაწილდეს მთელ გუნდზე, შესაბამისად სასჯელი და ჯილდოც მივიღოთ ერთად","კოლაბორაცია","3","2","3","3","2","2","არა","არა","კარიერული განვითარების შესაძლებლობა","პირად ცხოვრებასა და სამსახურს შორის ბალანსი","მუდმივი გამოწვევები;კარიერული ზრდის შესაძლებლობა;მოქნილი სამუშაო რეჟიმი"
"2023/05/30 12:10:00 PM GMT+4","1981-1996","ქალი","დაოჯახებული","არა","მაგისტრატურა","სატელეფონო კომუნიკაცია","კვირაში ერთხელ","მატერიალურს","მირჩევნია ორგანიზაციამ მეტი თავისუფლება მომცეს ჩემი საქმის შესრულებისას, მარტომ მივიღო გადაწყვეტილებები და პასუხისმგებლობა მხოლოდ საკუთარ თავზე ავიღო","მირჩევნია ვიმუშავო ინდივიდუალურად და პასუხისმგებლობა ავიღო მთლიანად საკუთარ თავზე, შესაბამისად სასჯელი და ჯილდოც მივიღო მარტო მე","კოლაბორაცია","2","2","3","3","2","2","კი","არა","კარიერული განვითარების შესაძლებლობა","მაღალი ანაზღაურება","კარიერული ზრდის შესაძლებლობა;დაფასება და აღიარება;მაღალი ხელფასი"
"2023/05/30 1:46:44 PM GMT+4","1981-1996","ქალი","დაოჯახებული","არა","მაგისტრატურა","პირდაპირი შეხვედრა","კვირაში ერთხელ","მატერიალურს","მირჩევნია ორგანიზაციამ მეტი თავისუფლება მომცეს ჩემი საქმის შესრულებისას, მარტომ მივიღო გადაწყვეტილებები და პასუხისმგებლობა მხოლოდ საკუთარ თავზე ავიღო","მირჩევნია ვიმუშავო გუნდში და პასუხისმგებლობა გადანაწილდეს მთელ გუნდზე, შესაბამისად სასჯელი და ჯილდოც მივიღოთ ერთად","კოლაბორაცია","3","2","3","3","1","2","არა","არა","მაღალი ანაზღაურება","პირად ცხოვრებასა და სამსახურს შორის ბალანსი","მაღალი ხელფასი;კარგი სამუშაო პირობები;კარიერული ზრდის შესაძლებლობა"
"2023/05/30 4:56:00 PM GMT+4","1981-1996","ქალი","დასაოჯახებელი","არა","მაგისტრატურა","პირდაპირი შეხვედრა","კვირაში ერთხელ","არამატერიალურს","მირჩევნია ორგანიზაცია აკონტროლებდეს ჩემი საქმის შესრულებას, გადაწყვეტილებებს ვიღებდე მათთან შეთანხმებულად და პასუხისმგებლობა მხოლოდ მე არ მეკისრებოდეს","მირჩევნია ვიმუშავო ინდივიდუალურად და პასუხისმგებლობა ავიღო მთლიანად საკუთარ თავზე, შესაბამისად სასჯელი და ჯილდოც მივიღო მარტო მე","კოლაბორაცია","1","2","1","1","2","3","კი","კი","კარიერული განვითარების შესაძლებლობა","მაღალი ანაზღაურება","კარგი სამუშაო პირობები;კარიერული ზრდის შესაძლებლობა;დაფასება და აღიარება"
"2023/05/31 4:51:37 PM GMT+4","1981-1996","ქალი","დასაოჯახებელი","არა","მაგისტრატურა","მეილი","კვირაში ერთხელ","მატერიალურს","მირჩევნია ორგანიზაციამ მეტი თავისუფლება მომცეს ჩემი საქმის შესრულებისას, მარტომ მივიღო გადაწყვეტილებები და პასუხისმგებლობა მხოლოდ საკუთარ თავზე ავიღო","მირჩევნია ვიმუშავო ინდივიდუალურად და პასუხისმგებლობა ავიღო მთლიანად საკუთარ თავზე, შესაბამისად სასჯელი და ჯილდოც მივიღო მარტო მე","კოლაბორაცია","2","2","3","3","2","2","კი","არა","კარიერული განვითარების შესაძლებლობა","მაღალი ანაზღაურება","დაფასება და აღიარება;კარიერული ზრდის შესაძლებლობა;მაღალი ხელფასი"
"2023/06/03 8:35:23 PM GMT+4","1997-2012","ქალი","დასაოჯახებელი","არა","მაგისტრატურა","მეილი","კვირაში ერთხელ","მატერიალურს","მირჩევნია ორგანიზაციამ მეტი თავისუფლება მომცეს ჩემი საქმის შესრულებისას, მარტომ მივიღო გადაწყვეტილებები და პასუხისმგებლობა მხოლოდ საკუთარ თავზე ავიღო","მირჩევნია ვიმუშავო ინდივიდუალურად და პასუხისმგებლობა ავიღო მთლიანად საკუთარ თავზე, შესაბამისად სასჯელი და ჯილდოც მივიღო მარტო მე","კოლაბორაცია","5","2","5","5","3","3","კი","კი","კარიერული განვითარების შესაძლებლობა","პირად ცხოვრებასა და სამსახურს შორის ბალანსი","კარიერული ზრდის შესაძლებლობა;მაღალი ხელფასი;დაფასება და აღიარება"
"2023/06/03 8:37:18 PM GMT+4","1981-1996","ქალი","დაოჯახებული","არა","მაგისტრატურა","მეილი","კვირაში ერთხელ","მატერიალურს","მირჩევნია ორგანიზაციამ მეტი თავისუფლება მომცეს ჩემი საქმის შესრულებისას, მარტომ მივიღო გადაწყვეტილებები და პასუხისმგებლობა მხოლოდ საკუთარ თავზე ავიღო","მირჩევნია ვიმუშავო ინდივიდუალურად და პასუხისმგებლობა ავიღო მთლიანად საკუთარ თავზე, შესაბამისად სასჯელი და ჯილდოც მივიღო მარტო მე","კოლაბორაცია","3","2","3","2","2","2","კი","არა","მაღალი ანაზღაურება","მაღალი ანაზღაურება","მაღალი ხელფასი;დაფასება და აღიარება;კარიერული ზრდის შესაძლებლობა"
"2023/06/03 8:38:19 PM GMT+4","1981-1996","ქალი","დასაოჯახებელი","არა","მაგისტრატურა","სოციალური ქსელები","კვირაში ერთხელ","მატერიალურს","მირჩევნია ორგანიზაციამ მეტი თავისუფლება მომცეს ჩემი საქმის შესრულებისას, მარტომ მივიღო გადაწყვეტილებები და პასუხისმგებლობა მხოლოდ საკუთარ თავზე ავიღო","მირჩევნია ვიმუშავო ინდივიდუალურად და პასუხისმგებლობა ავიღო მთლიანად საკუთარ თავზე, შესაბამისად სასჯელი და ჯილდოც მივიღო მარტო მე","კოლაბორაცია","2","2","2","2","2","2","კი","არა","მაღალი ანაზღაურება","მაღალი ანაზღაურება","მოქნილი სამუშაო რეჟიმი;კარიერული ზრდის შესაძლებლობა;მაღალი ხელფასი"
"2023/06/03 8:38:27 PM GMT+4","1965-1980","ქალი","დაოჯახებული","კი","დოქტორის ან მასთან გათანაბრებული","სოციალური ქსელები","თვეში ორჯერ","მატერიალურს","მირჩევნია ორგანიზაცია აკონტროლებდეს ჩემი საქმის შესრულებას, გადაწყვეტილებებს ვიღებდე მათთან შეთანხმებულად და პასუხისმგებლობა მხოლოდ მე არ მეკისრებოდეს","მირჩევნია ვიმუშავო გუნდში და პასუხისმგებლობა გადანაწილდეს მთელ გუნდზე, შესაბამისად სასჯელი და ჯილდოც მივიღოთ ერთად","კოლაბორაცია","1","2","1","1","1","1","კი","კი","მაღალი ანაზღაურება","პირად ცხოვრებასა და სამსახურს შორის ბალანსი","დამატებითი სარგებელი (მაგ:დაზღვევა);მაღალი ხელფასი;მოქნილი სამუშაო რეჟიმი"
"2023/06/03 8:40:30 PM GMT+4","1981-1996","ქალი","დაოჯახებული","კი","ბაკალავრი","პირდაპირი შეხვედრა","თვეში ორჯერ","მატერიალურს","მირჩევნია ორგანიზაციამ მეტი თავისუფლება მომცეს ჩემი საქმის შესრულებისას, მარტომ მივიღო გადაწყვეტილებები და პასუხისმგებლობა მხოლოდ საკუთარ თავზე ავიღო","მირჩევნია ვიმუშავო გუნდში და პასუხისმგებლობა გადანაწილდეს მთელ გუნდზე, შესაბამისად სასჯელი და ჯილდოც მივიღოთ ერთად","კოლაბორაცია","1","2","1","1","1","2","კი","არა","კარიერული განვითარების შესაძლებლობა","პირად ცხოვრებასა და სამსახურს შორის ბალანსი","კარიერული ზრდის შესაძლებლობა;პიროვნული განვითარების შესაძლებლობა;კარგი სამუშაო პირობები"
"2023/06/03 8:40:37 PM GMT+4","1997-2012","ქალი","დასაოჯახებელი","არა","ბაკალავრი","პირდაპირი შეხვედრა","კვირაში ერთხელ","მატერიალურს","მირჩევნია ორგანიზაცია აკონტროლებდეს ჩემი საქმის შესრულებას, გადაწყვეტილებებს ვიღებდე მათთან შეთანხმებულად და პასუხისმგებლობა მხოლოდ მე არ მეკისრებოდეს","მირჩევნია ვიმუშავო გუნდში და პასუხისმგებლობა გადანაწილდეს მთელ გუნდზე, შესაბამისად სასჯელი და ჯილდოც მივიღოთ ერთად","კოლაბორაცია","5","3","5","5","3","4","არა","არა","მაღალი ანაზღაურება","პირად ცხოვრებასა და სამსახურს შორის ბალანსი","დაფასება და აღიარება;მაღალი ხელფასი;კარგი სამუშაო პირობები"
"2023/06/03 8:41:17 PM GMT+4","1997-2012","ქალი","დასაოჯახებელი","არა","ბაკალავრი","სოციალური ქსელები","კვირაში ერთხელ","მატერიალურს","მირჩევნია ორგანიზაცია აკონტროლებდეს ჩემი საქმის შესრულებას, გადაწყვეტილებებს ვიღებდე მათთან შეთანხმებულად და პასუხისმგებლობა მხოლოდ მე არ მეკისრებოდეს","მირჩევნია ვიმუშავო ინდივიდუალურად და პასუხისმგებლობა ავიღო მთლიანად საკუთარ თავზე, შესაბამისად სასჯელი და ჯილდოც მივიღო მარტო მე","კოლაბორაცია","4","2","5","5","1","5","არა","არა","მაღალი ანაზღაურება","მაღალი ანაზღაურება","დაფასება და აღიარება;მაღალი ხელფასი;მოქნილი სამუშაო რეჟიმი"
"2023/06/03 8:45:14 PM GMT+4","1997-2012","ქალი","დასაოჯახებელი","არა","სრული ზოგადი განათლება (12 კლასი)","სატელეფონო კომუნიკაცია","თვეში ორჯერ","მატერიალურს","მირჩევნია ორგანიზაციამ მეტი თავისუფლება მომცეს ჩემი საქმის შესრულებისას, მარტომ მივიღო გადაწყვეტილებები და პასუხისმგებლობა მხოლოდ საკუთარ თავზე ავიღო","მირჩევნია ვიმუშავო გუნდში და პასუხისმგებლობა გადანაწილდეს მთელ გუნდზე, შესაბამისად სასჯელი და ჯილდოც მივიღოთ ერთად","კოლაბორაცია","1","3","2","1","1","2","კი","არა","კარიერული განვითარების შესაძლებლობა","მაღალი ანაზღაურება","კარიერული ზრდის შესაძლებლობა;პიროვნული განვითარების შესაძლებლობა;კარგი სამუშაო პირობები"
"2023/06/03 8:47:34 PM GMT+4","1965-1980","ქალი","განქორწინებული","კი","მაგისტრატურა","პირდაპირი შეხვედრა","ყოველ კვარტალში ერთხელ","მატერიალურს","მირჩევნია ორგანიზაცია აკონტროლებდეს ჩემი საქმის შესრულებას, გადაწყვეტილებებს ვიღებდე მათთან შეთანხმებულად და პასუხისმგებლობა მხოლოდ მე არ მეკისრებოდეს","მირჩევნია ვიმუშავო გუნდში და პასუხისმგებლობა გადანაწილდეს მთელ გუნდზე, შესაბამისად სასჯელი და ჯილდოც მივიღოთ ერთად","კომპრომისზე წასვლა","2","2","2","3","3","2","კი","არა","მაღალი ანაზღაურება","პირად ცხოვრებასა და სამსახურს შორის ბალანსი","პიროვნული განვითარების შესაძლებლობა;მაღალი ხელფასი;კარგი სამუშაო პირობები"
